knowledge_usefulness,knowledge_reliability,knowledge_accuracy,knowledge_rating,knowledge_quality
1,73,0,81,1
0,36,1,67,2
1,87,1,72,1
1,14,1,11,2
1,48,0,4,1
1,89,1,3,1
0,100,0,90,3
1,90,0,3,2
1,48,0,95,3
1,73,0,64,2
0,4,1,100,2
0,34,0,84,2
1,20,1,85,3
0,36,1,51,1
1,50,0,18,2
0,13,0,59,1
1,59,1,61,2
1,74,0,100,3
1,39,0,71,2
1,14,1,14,3
1,86,1,36,2
1,52,1,54,2
0,56,0,37,1
1,98,0,98,1
0,70,0,66,2
1,23,1,61,2
0,12,0,94,3
1,67,1,83,1
1,68,1,78,2
0,22,0,19,2
0,47,1,67,1
1,90,1,3,3
0,59,1,44,2
0,10,1,13,1
1,58,0,34,2
1,99,1,86,2
1,11,1,14,2
0,4,1,83,3
0,35,0,99,3
0,91,1,62,1
0,42,0,84,1
1,89,1,1,1
0,34,0,94,3
1,74,1,53,1
1,8,0,56,3
1,29,0,48,3
1,41,0,42,3
0,81,0,4,2
1,85,1,51,2
0,61,0,30,3
1,64,0,86,2
1,76,0,94,2
1,73,1,37,3
1,49,1,68,1
0,93,1,90,3
0,98,0,13,1
0,76,0,19,1
1,64,0,77,3
0,41,1,100,2
1,78,1,13,2
1,44,1,58,3
1,85,0,11,1
1,52,1,85,3
1,29,0,6,2
0,93,0,78,3
0,53,0,26,2
1,93,1,9,3
0,83,0,59,1
0,51,1,84,1
0,36,0,76,1
1,98,1,56,1
0,67,0,100,2
0,5,0,49,2
0,50,1,2,3
0,31,1,89,2
0,64,1,21,1
0,1,0,68,1
0,94,1,10,1
1,30,1,89,1
0,86,1,68,3
1,49,0,68,1
0,28,1,58,3
0,47,0,91,1
1,23,0,58,3
0,45,1,85,1
1,35,1,100,1
1,83,1,38,1
1,88,1,59,1
1,55,0,4,2
0,60,0,57,2
1,11,1,23,2
1,18,1,10,3
1,24,1,34,1
1,1,0,41,3
0,93,1,77,2
1,93,1,35,2
0,40,0,18,3
0,75,0,83,2
1,36,0,25,2
1,73,1,88,3
1,99,0,4,1
0,73,0,58,3
1,34,1,87,1
0,19,0,4,1
1,0,0,75,3
1,27,1,65,3
1,6,0,86,2
0,69,1,90,3
0,47,0,87,2
1,20,1,90,1
0,15,1,39,3
1,17,0,59,3
0,68,1,80,2
0,21,0,44,3
0,16,1,73,2
0,3,0,100,3
1,17,1,28,1
0,61,0,36,1
0,91,1,15,2
1,78,1,61,1
1,20,1,74,2
0,90,0,79,2
0,83,0,72,1
0,59,1,14,1
1,88,0,44,3
0,57,1,80,3
0,9,1,64,2
0,51,1,29,1
0,45,0,72,1
1,74,1,70,1
1,65,0,64,1
0,51,1,65,3
0,24,1,71,1
1,79,0,68,2
0,89,0,72,3
0,100,1,79,2
0,58,1,71,1
1,2,1,91,3
1,24,0,62,3
1,74,1,30,3
1,0,1,9,2
0,58,0,71,3
0,28,0,76,1
0,68,0,50,2
0,45,0,33,3
1,47,0,59,1
1,74,1,63,3
1,8,1,13,3
0,9,0,42,2
0,33,1,84,3
1,66,1,99,2
0,55,1,12,1
0,12,1,28,1
1,43,0,31,3
1,77,0,86,1
0,5,1,69,2
0,73,0,68,2
1,52,1,8,1
0,68,1,50,1
0,73,0,94,1
1,90,1,4,3
0,71,1,20,2
1,76,0,7,3
1,12,0,97,3
0,24,1,72,3
0,26,0,99,2
1,6,0,5,1
1,71,0,81,2
1,39,1,19,1
1,27,0,76,1
1,33,1,43,3
0,13,0,38,2
1,65,0,58,2
1,80,1,33,2
1,75,1,84,2
0,98,0,39,3
1,51,1,87,1
1,73,1,13,3
1,24,0,96,2
0,48,1,48,3
1,24,1,97,2
1,49,0,74,2
0,12,1,52,1
0,11,1,92,3
0,94,1,5,2
1,95,0,79,2
0,87,0,68,3
0,43,0,90,1
1,66,1,4,2
0,35,1,60,3
1,42,1,34,2
1,82,0,35,2
0,67,1,47,1
0,80,1,33,1
1,29,0,85,1
0,35,1,94,3
0,76,0,44,1
0,37,0,48,1
0,99,1,81,1
0,45,0,33,2
0,52,0,69,2
0,55,1,45,2
1,7,0,55,2
0,11,1,39,3
1,75,1,65,1
1,43,0,22,2
0,81,0,70,1
0,4,1,5,1
1,49,0,48,2
1,44,0,5,2
0,62,0,38,1
0,31,1,39,1
1,52,0,99,3
1,76,1,81,2
1,27,0,34,3
0,66,1,24,2
0,80,0,41,3
1,87,1,8,2
0,50,1,68,3
0,73,0,96,3
0,46,0,91,1
0,44,0,82,3
0,12,0,95,3
1,53,0,4,3
1,8,1,38,3
0,56,0,48,3
1,9,0,82,3
0,30,0,20,2
1,61,0,94,2
1,35,1,85,1
1,59,1,94,3
1,12,0,24,1
0,39,1,2,2
1,98,0,45,1
0,3,0,4,3
0,89,0,11,2
0,37,1,5,1
0,2,1,92,2
0,89,0,33,2
1,61,0,99,3
0,0,0,85,1
1,76,1,80,1
1,11,1,65,2
1,58,0,97,3
1,22,1,58,3
1,35,1,53,1
1,83,0,80,1
1,2,1,47,3
0,62,0,74,1
1,23,0,28,3
0,4,0,16,2
1,76,1,75,1
0,7,1,15,3
1,12,1,93,2
0,36,1,43,2
1,4,0,17,2
1,3,0,27,1
0,67,1,29,1
0,95,0,51,1
0,79,1,31,3
0,5,1,2,3
0,73,0,22,3
1,71,1,43,3
0,11,1,19,2
1,84,0,12,3
0,36,0,30,1
0,57,0,25,2
1,58,0,84,1
0,64,0,42,2
1,14,1,8,1
0,4,1,26,3
1,92,1,7,3
1,98,1,95,2
1,88,0,78,2
1,10,1,70,3
1,79,0,47,2
1,55,1,40,2
0,45,0,94,1
1,53,1,18,3
0,80,0,64,2
0,36,1,28,1
1,37,1,70,3
1,71,1,5,1
1,12,0,14,1
0,25,0,59,1
1,50,0,80,1
1,58,0,54,3
0,69,1,90,2
0,40,1,85,1
0,22,0,20,2
0,3,0,48,3
1,79,1,30,3
1,94,1,10,1
1,14,0,84,3
1,98,1,97,3
1,15,1,64,1
0,40,0,13,1
1,8,0,19,2
0,31,0,74,2
1,8,0,75,1
1,59,1,66,2
0,32,1,11,2
0,57,0,36,1
1,10,1,32,3
1,46,1,14,2
0,41,1,6,2
0,21,0,99,3
0,13,1,7,2
0,33,0,14,2
0,17,1,65,1
1,80,1,11,2
1,19,0,87,1
1,57,0,17,3
1,37,1,90,1
1,17,0,61,1
1,85,0,42,2
0,49,0,56,1
1,79,0,87,2
1,42,1,48,1
1,18,1,79,3
0,78,1,62,2
1,81,1,40,3
0,82,1,49,2
0,53,0,1,1
1,24,0,70,1
0,96,1,61,1
1,68,1,14,2
1,26,1,83,2
1,5,1,98,3
0,20,0,47,1
0,68,1,92,2
1,86,0,15,2
1,50,1,62,1
1,27,1,46,3
1,69,0,50,2
1,89,1,11,3
1,19,1,54,3
0,90,0,89,2
1,86,0,98,3
1,3,1,82,2
1,90,0,40,3
1,10,1,84,1
1,88,1,16,2
1,2,1,9,2
1,34,1,71,3
1,8,0,45,3
0,98,1,97,3
0,72,0,5,1
0,82,1,74,2
1,63,0,51,1
0,6,0,43,3
1,43,0,26,3
1,16,0,11,3
1,29,1,17,2
0,44,1,3,3
1,31,0,96,3
0,4,1,52,2
0,97,0,61,3
0,14,0,67,2
1,84,0,47,1
0,49,1,83,2
0,37,1,33,2
1,100,0,38,2
0,89,1,91,1
1,51,0,76,2
0,26,1,41,1
1,86,1,17,1
0,18,0,6,2
1,45,1,27,1
1,75,1,68,1
0,44,0,24,3
1,45,1,59,2
0,36,0,31,2
0,16,1,5,1
0,24,1,19,2
1,94,0,41,2
0,90,1,100,1
0,42,1,68,2
1,57,1,41,1
0,67,1,97,3
0,76,0,14,2
1,80,0,85,2
0,85,1,37,2
1,70,0,25,2
0,92,1,27,1
0,53,1,84,2
1,48,0,3,3
1,6,0,68,1
1,4,1,51,2
0,76,1,82,1
0,80,1,30,2
1,48,1,58,1
1,19,0,92,3
0,23,0,49,3
1,55,1,67,1
1,1,0,2,1
1,34,0,82,3
1,32,0,39,1
0,10,1,83,3
1,22,0,22,3
1,33,1,29,3
0,49,1,64,1
1,2,0,10,3
0,99,0,58,2
0,18,1,10,1
1,69,1,48,1
1,31,1,71,1
1,22,1,98,2
0,58,1,40,1
0,58,0,38,2
0,66,1,47,1
0,91,1,96,1
0,41,1,75,2
0,23,0,12,2
1,71,0,36,3
1,21,1,14,3
0,14,1,63,1
0,68,0,96,3
1,77,1,20,1
1,77,1,6,3
0,32,1,59,2
0,44,1,48,2
1,67,0,96,1
0,68,0,36,2
1,81,1,0,1
1,59,0,55,3
0,89,0,41,2
1,54,1,91,2
0,5,0,68,2
0,47,1,32,2
0,40,0,76,3
0,56,0,44,2
1,14,0,7,3
0,38,1,39,2
0,23,0,27,1
1,66,1,23,3
1,22,0,54,2
1,20,0,14,1
0,94,1,42,1
1,81,0,75,1
1,74,0,91,3
1,78,1,80,1
1,100,1,63,2
0,26,0,57,3
1,90,0,9,1
1,87,0,78,1
0,89,0,53,3
0,69,0,34,3
1,58,1,87,2
1,79,0,14,1
0,24,1,10,1
1,23,1,17,2
0,30,0,49,1
0,5,1,86,3
0,5,1,58,3
0,39,1,63,2
0,79,0,23,1
0,19,1,23,3
0,68,1,39,1
0,98,0,77,3
1,10,1,10,2
0,19,1,35,2
0,33,1,5,3
0,23,0,88,3
0,87,0,64,1
0,94,0,8,3
0,74,0,39,2
1,27,1,35,3
1,46,1,19,2
0,63,0,45,3
1,45,1,68,3
1,94,1,64,2
1,20,1,6,3
1,79,0,11,2
0,7,0,53,3
1,37,1,56,2
0,56,1,19,1
0,45,0,92,2
1,51,1,89,2
1,38,1,43,1
0,86,1,22,1
0,55,1,70,3
1,49,1,23,3
0,87,1,7,2
0,3,1,57,2
1,87,0,15,3
