knowledge_usefulness,knowledge_reliability,knowledge_accuracy,knowledge_rating,knowledge_quality
1,23,0,10,1
0,86,0,37,1
0,71,0,76,2
1,10,0,24,1
0,93,0,68,3
0,100,0,67,1
1,87,0,59,3
1,13,0,92,1
0,88,0,28,3
0,49,0,60,1
0,2,1,22,2
1,20,1,5,2
1,34,0,65,3
0,37,1,19,2
1,91,0,23,1
0,72,0,51,1
1,46,0,94,3
1,25,1,86,1
1,20,0,42,1
1,86,0,70,1
1,65,0,72,1
0,48,1,32,3
0,47,0,15,2
0,17,1,81,2
0,32,0,69,2
0,3,0,47,3
1,14,1,72,2
0,81,1,93,2
0,26,1,2,1
0,16,1,3,1
1,41,1,92,2
0,71,1,93,3
0,100,1,1,3
1,36,0,80,2
0,72,0,6,3
0,62,0,68,1
1,22,0,12,3
0,95,0,59,2
0,76,0,96,1
0,98,1,71,2
0,61,0,16,3
1,94,0,8,3
1,0,0,63,1
0,53,1,24,1
0,94,0,22,1
1,46,0,47,1
1,28,0,21,3
0,43,0,40,1
1,88,0,74,3
1,55,1,99,3
1,22,0,68,3
1,41,1,51,1
0,22,1,6,3
1,1,1,32,1
0,18,1,73,2
1,24,1,62,1
1,12,0,46,1
0,19,1,0,3
1,60,0,38,2
1,97,1,31,1
0,67,0,5,1
1,54,1,20,3
1,57,1,48,3
1,81,0,41,1
0,95,1,86,1
1,70,1,45,2
1,87,1,54,1
1,14,0,38,2
0,94,1,71,3
0,9,1,82,1
1,3,0,90,3
1,51,1,49,1
0,61,0,67,3
0,35,1,35,2
0,29,0,3,2
1,79,1,31,1
0,81,1,44,2
1,52,1,21,2
0,89,1,94,2
0,50,1,51,3
0,85,1,56,2
1,11,1,50,2
0,74,0,5,3
0,30,1,2,2
0,92,0,24,1
0,73,0,6,2
1,11,0,55,2
0,26,0,97,1
0,57,1,11,2
1,21,1,32,2
0,39,1,85,3
0,38,1,18,2
0,30,1,19,3
0,49,0,30,1
0,55,0,76,1
0,31,1,96,2
1,11,0,15,1
0,49,0,71,1
1,22,0,87,2
1,1,0,64,2
0,96,1,36,2
1,77,0,78,3
1,28,0,14,2
1,32,1,81,3
1,2,1,91,2
1,3,1,68,2
0,21,1,85,2
0,13,1,45,3
1,89,1,55,1
1,98,0,46,2
1,61,0,40,1
0,80,1,65,3
1,95,1,38,2
1,38,0,46,3
0,42,1,40,2
1,69,0,55,3
1,75,1,71,3
0,49,1,61,2
1,95,0,5,2
0,90,1,83,1
1,36,1,68,1
1,26,1,73,3
0,40,0,29,1
1,12,0,44,2
0,35,1,43,3
0,2,0,18,3
0,22,0,82,1
0,53,1,58,2
0,94,1,16,1
1,62,1,12,1
1,13,1,86,1
0,39,1,4,1
0,73,1,81,2
1,82,0,16,1
0,95,1,43,2
0,8,1,17,3
0,64,0,65,3
1,65,0,70,3
0,27,0,55,2
1,0,0,29,3
1,43,0,99,2
1,13,0,51,2
1,19,1,51,3
0,0,1,42,2
0,35,1,74,3
1,57,1,78,2
1,56,1,56,3
1,32,1,68,2
0,73,1,66,2
0,3,0,7,1
1,98,0,77,2
0,41,1,17,1
0,54,0,58,2
0,27,1,89,3
0,55,0,83,3
1,39,1,12,1
0,97,1,69,2
0,67,1,64,1
1,31,1,1,3
1,57,1,15,3
0,95,0,36,1
0,6,0,80,3
0,77,0,60,3
1,11,1,49,2
1,28,0,47,3
1,61,1,45,3
0,0,0,8,2
1,99,1,47,1
1,60,0,0,1
1,68,1,95,3
1,98,0,64,1
1,13,1,13,1
0,92,0,98,2
0,62,1,62,3
0,19,1,45,2
0,92,0,67,3
1,96,1,48,2
0,44,1,10,1
1,90,0,41,1
1,26,0,28,2
0,74,0,25,3
0,46,0,11,3
0,0,1,94,3
1,75,1,70,3
0,69,0,10,3
0,16,0,97,3
0,51,1,77,3
0,96,1,92,1
0,87,1,8,2
0,36,1,1,3
0,62,1,76,1
1,37,1,1,1
0,91,0,38,1
0,55,1,79,1
0,43,1,30,1
1,59,1,40,3
0,21,1,70,1
0,84,0,54,2
1,16,0,12,3
1,61,1,56,1
1,76,1,69,1
0,43,0,21,3
0,72,0,49,2
0,76,0,64,1
1,94,1,92,3
0,24,0,28,3
0,77,0,67,2
0,1,0,6,3
0,17,0,90,1
0,61,1,21,1
0,45,1,32,3
0,18,1,58,1
0,72,0,1,2
1,64,0,17,1
0,66,0,40,2
0,54,0,51,1
1,10,1,81,3
0,89,0,64,3
0,100,1,81,1
1,25,0,28,3
0,25,0,81,2
1,95,1,92,2
1,26,1,48,2
1,39,0,1,1
1,84,0,27,3
0,70,0,25,1
1,83,1,86,3
0,55,1,2,2
1,95,0,52,1
1,34,0,79,2
0,77,0,59,3
0,25,0,22,1
0,94,1,63,3
1,35,0,83,2
0,80,1,52,1
0,56,1,15,3
0,34,1,76,2
1,66,1,50,3
1,73,0,55,3
1,39,1,28,2
0,42,0,57,1
1,100,1,85,1
0,4,0,20,2
1,8,1,66,3
0,100,1,87,1
1,94,1,89,1
1,84,1,53,2
1,77,1,60,2
1,93,0,81,2
0,100,1,90,3
1,99,0,0,1
1,16,0,92,2
1,4,1,78,1
0,11,1,53,2
1,44,0,3,1
0,97,0,74,1
0,50,0,30,1
0,35,1,48,2
0,50,0,27,3
0,13,1,43,3
0,54,0,58,3
0,44,1,32,1
1,10,1,6,1
0,83,1,15,2
0,20,0,61,2
1,64,1,33,2
0,79,1,19,2
0,8,0,98,3
1,30,1,36,3
0,50,0,52,1
1,91,1,30,2
1,100,1,65,3
0,96,1,96,1
1,4,1,0,1
0,73,0,5,1
1,1,0,17,2
1,88,1,31,1
1,11,0,86,1
0,16,1,58,1
0,32,0,63,3
0,1,0,63,2
0,36,0,8,1
0,94,0,27,3
1,13,1,65,3
0,2,1,65,3
0,40,1,67,2
1,89,0,60,3
0,15,1,42,3
1,98,0,45,1
0,90,0,83,1
0,63,1,82,1
0,9,0,34,3
0,31,0,24,3
1,20,1,25,1
0,36,0,13,3
0,93,0,67,3
0,95,0,52,1
0,53,0,54,2
1,24,1,86,2
1,94,1,77,2
1,22,0,95,1
1,50,0,89,1
0,4,0,3,1
1,11,1,54,1
0,94,1,67,3
1,44,1,43,2
0,7,1,81,3
0,35,0,64,1
0,21,1,92,2
0,48,0,21,1
1,52,1,7,2
0,22,0,52,2
1,45,0,4,1
1,17,0,67,3
1,50,0,81,2
1,41,0,29,1
0,1,0,28,3
1,57,0,93,3
0,96,0,80,1
0,95,1,65,2
0,96,1,40,1
1,25,1,27,1
0,54,1,98,3
1,99,1,58,2
0,48,0,60,3
0,72,1,52,1
1,40,0,96,2
1,14,0,71,2
0,54,0,94,1
0,90,1,38,3
0,6,0,68,1
0,33,0,95,2
0,51,0,15,2
1,26,0,84,2
0,4,0,77,1
1,76,0,28,3
0,76,0,99,1
1,24,1,88,1
0,50,1,48,2
1,60,0,66,2
0,31,1,83,3
0,52,0,25,2
0,24,1,64,3
0,28,1,97,2
0,40,1,91,3
0,96,0,87,1
0,62,1,22,1
1,30,0,48,1
1,74,1,67,1
0,75,0,2,2
1,24,1,29,2
0,67,0,18,1
0,19,0,21,2
1,77,0,11,3
1,48,1,40,3
1,78,1,78,2
0,33,0,39,3
1,47,1,31,2
0,31,1,14,1
0,84,1,30,3
1,36,0,31,1
1,78,1,36,3
0,63,0,78,3
1,65,1,35,3
0,60,1,62,2
0,43,0,58,2
0,33,1,72,1
1,73,1,11,2
1,93,0,77,2
0,33,0,52,3
1,63,0,1,1
0,3,0,66,3
1,59,1,60,1
0,1,0,88,3
1,11,0,25,2
0,33,0,10,2
0,60,0,31,2
0,79,1,93,3
1,93,1,57,3
0,100,1,16,3
1,10,0,73,3
0,14,0,99,2
1,25,1,16,1
1,53,1,38,3
0,86,1,5,1
1,24,0,57,1
0,63,0,67,2
1,96,0,91,3
0,54,1,59,1
0,34,0,7,3
0,96,1,90,2
0,97,1,60,2
0,74,1,79,1
1,55,1,5,2
0,36,0,76,1
1,85,1,90,2
0,8,1,9,3
1,29,1,73,3
1,23,0,73,3
1,25,1,35,3
1,63,0,37,3
0,83,1,8,3
1,16,0,74,3
1,41,1,94,1
0,78,0,87,1
0,33,1,49,1
0,40,1,58,1
0,39,1,96,3
0,53,0,1,3
0,26,0,94,2
1,77,1,90,3
0,25,0,18,1
1,4,1,11,2
0,29,1,41,1
1,37,0,11,1
0,8,1,63,2
0,100,1,69,1
1,61,0,28,1
1,94,1,58,3
1,58,0,32,1
0,55,1,17,1
1,3,0,93,3
0,48,0,42,3
0,92,0,43,2
0,84,0,86,3
1,19,0,4,1
0,20,1,70,1
1,79,1,50,3
1,86,1,15,1
1,4,1,98,3
0,82,0,60,1
0,96,1,52,1
0,93,1,40,3
1,96,0,53,2
1,7,0,70,2
1,27,0,97,1
0,36,1,33,1
0,52,1,59,3
1,99,1,33,1
0,40,0,38,2
1,100,1,98,3
0,58,1,50,1
0,82,1,71,3
1,43,1,7,1
1,8,0,28,3
1,42,0,51,2
0,28,1,3,1
0,4,0,14,1
0,28,1,21,2
1,81,0,45,2
0,51,0,1,1
1,66,1,68,1
0,2,1,16,1
0,76,1,76,1
1,93,1,3,3
0,2,1,63,1
0,44,0,59,2
0,8,1,40,1
0,8,0,90,3
1,92,0,80,3
1,73,1,48,1
0,97,0,28,2
1,67,1,95,3
1,46,1,73,3
0,86,1,31,2
1,33,1,26,3
1,32,1,36,2
0,1,0,84,1
1,73,0,11,3
0,82,1,26,2
1,45,0,91,1
1,50,0,84,2
0,21,1,70,1
1,22,0,6,2
0,25,1,49,3
0,22,0,99,2
1,33,1,77,1
0,47,0,20,2
0,37,0,90,1
1,3,0,79,1
0,99,1,21,3
0,93,1,8,2
0,71,0,95,2
0,3,1,36,3
1,33,0,80,2
1,17,0,20,2
0,11,0,11,1
0,95,1,32,3
0,28,0,30,3
1,86,1,36,3
0,82,1,82,3
1,99,0,83,3
0,31,0,92,1
1,86,1,58,3
0,22,1,52,3
1,28,0,39,1
1,57,1,83,3
1,57,1,26,3
0,96,1,22,2
1,35,1,67,1
0,19,1,27,1
0,12,1,46,2
0,41,0,65,3
0,75,0,1,1
0,79,0,69,3
0,48,1,47,1
1,38,0,56,3
0,68,0,50,2
1,83,0,41,2
0,6,0,99,1
1,75,1,7,2
0,27,0,41,2
0,47,1,6,3
0,65,0,82,3
1,99,0,66,2
0,39,0,88,1
1,71,0,55,3
1,17,0,94,2
0,78,0,10,2
0,58,1,40,2
1,15,1,28,2
0,80,0,64,2
1,20,1,52,1
0,12,1,1,1
0,58,1,14,2
1,73,1,68,3
0,28,1,1,3
1,2,0,35,3
0,10,1,71,1
0,65,1,44,1
1,19,1,41,3
1,46,0,99,3
1,57,0,43,2
0,92,0,35,2
1,38,1,4,1
0,10,0,24,3
0,50,1,18,2
0,12,1,59,3
1,96,1,35,2
0,30,0,33,1
1,55,0,31,3
0,58,1,72,1
0,94,1,44,3
0,25,1,3,1
1,99,0,64,1
1,94,0,14,1
1,54,0,59,1
1,40,1,86,2
0,58,0,66,1
0,82,0,34,3
1,22,0,57,2
0,93,0,63,2
0,57,0,39,1
0,68,1,66,1
0,88,1,34,1
0,40,1,80,1
1,70,0,4,1
0,71,0,2,1
1,22,0,44,1
1,50,1,26,3
0,94,1,52,3
1,82,1,96,1
0,68,0,77,2
0,6,0,19,2
0,51,0,93,3
0,86,1,23,3
1,1,0,32,1
0,15,0,36,2
0,34,0,67,3
1,37,0,79,1
1,89,1,0,1
1,70,0,78,2
1,70,0,83,3
1,94,0,40,1
0,53,0,99,3
1,36,0,73,2
1,57,0,7,2
1,46,1,12,2
1,6,1,24,3
1,58,1,60,1
0,15,0,19,1
1,46,0,75,3
1,87,1,58,3
0,22,0,22,2
1,38,0,60,2
1,41,1,69,1
0,78,1,76,3
1,54,1,22,3
0,11,0,91,2
0,50,1,10,2
0,88,1,92,1
1,43,1,6,2
1,67,1,66,3
1,18,0,52,1
0,3,0,22,1
0,42,1,45,2
0,59,1,28,2
0,97,0,76,1
1,9,0,92,2
1,81,1,67,3
1,52,0,49,1
1,25,0,12,2
0,56,1,76,2
1,66,1,51,1
0,60,0,94,2
1,29,0,52,2
1,70,1,32,3
1,40,0,64,1
1,56,1,88,1
1,55,0,88,3
0,29,0,65,2
0,43,1,28,3
1,61,1,86,1
0,2,0,41,2
0,52,1,40,2
1,84,1,40,1
0,75,0,42,1
0,99,1,16,3
1,90,0,78,1
0,35,1,75,1
0,75,1,94,2
1,75,0,28,2
1,92,1,5,3
0,64,0,15,2
1,61,0,7,1
1,17,1,11,1
1,47,0,66,2
1,31,0,37,1
1,23,0,45,3
1,61,0,35,1
1,25,0,3,3
0,52,1,1,1
1,46,1,12,2
0,54,0,73,2
1,70,1,48,1
0,26,1,69,2
1,64,1,95,3
1,87,0,43,2
1,74,1,20,1
1,89,0,72,2
1,84,1,55,2
0,97,0,20,1
0,1,1,100,2
1,24,0,61,3
0,7,1,83,1
1,75,0,75,2
0,25,0,63,3
0,66,1,40,3
0,72,1,5,3
0,21,1,37,2
0,66,0,63,1
1,37,0,37,1
1,88,1,15,2
0,35,1,13,2
0,92,1,29,1
0,71,1,5,1
1,8,1,42,1
1,93,0,94,2
1,27,0,27,3
0,3,0,16,3
1,34,0,96,2
0,16,0,27,3
0,80,0,18,2
1,11,1,71,2
0,36,1,80,2
0,48,1,10,2
0,84,0,37,3
1,78,1,70,2
0,45,0,47,1
0,83,0,29,3
1,45,1,42,3
0,99,0,49,2
0,37,0,86,3
0,93,1,66,1
0,90,0,47,3
1,60,0,79,2
0,86,1,53,2
1,50,1,35,1
