knowledge_usefulness,knowledge_reliability,knowledge_accuracy,knowledge_rating,knowledge_quality
0,98,1,29,3
1,90,1,5,1
0,99,1,39,3
0,85,1,4,2
0,64,1,30,3
1,2,1,89,2
1,0,1,71,2
0,22,1,82,2
0,72,1,67,3
1,11,1,27,2
1,42,0,50,2
1,97,1,55,3
0,59,1,80,2
0,2,0,22,1
0,29,1,54,2
1,44,0,33,2
0,42,0,53,1
0,87,0,71,3
1,72,1,61,1
1,28,0,45,3
0,62,1,69,3
0,88,1,61,2
1,19,1,19,2
0,62,0,33,2
1,74,1,0,1
0,81,0,64,3
0,44,1,71,1
1,75,1,80,2
0,9,0,21,3
1,92,0,50,3
0,80,1,55,3
1,77,0,11,2
1,75,1,94,1
1,79,0,35,1
1,74,0,92,2
1,59,0,24,2
0,75,0,5,1
1,78,1,94,2
0,17,1,83,3
0,50,1,45,1
0,35,1,39,1
1,7,1,60,1
0,82,1,71,3
0,65,1,84,1
0,45,1,74,3
1,91,0,20,2
1,11,0,59,1
0,62,1,19,1
1,2,1,79,3
1,75,0,7,2
0,57,1,74,2
0,66,0,67,2
0,19,0,80,1
0,36,1,82,2
0,77,1,39,1
0,47,0,20,1
0,12,0,88,3
1,75,0,21,3
0,94,0,29,1
0,89,1,11,2
0,44,1,54,1
1,23,1,46,3
0,64,1,86,3
1,28,1,98,3
0,92,1,37,2
0,53,0,8,3
1,51,0,48,3
0,49,1,10,2
1,67,0,50,3
1,20,1,68,3
1,12,0,77,1
1,25,1,72,2
0,42,1,37,2
1,15,0,4,3
1,47,0,6,2
0,16,0,51,2
0,42,0,73,2
0,71,0,13,3
1,20,1,98,3
1,12,0,63,2
0,24,1,77,1
1,68,0,97,2
1,14,1,99,2
1,6,1,47,3
1,85,1,64,1
0,92,1,17,2
0,11,1,0,2
1,82,0,90,1
0,96,1,10,1
1,88,1,23,1
0,3,1,35,3
0,67,1,79,3
0,31,1,73,1
1,47,0,56,3
0,10,0,36,2
0,90,1,20,3
0,19,1,59,2
1,60,1,21,2
1,68,1,68,3
1,72,1,13,3
0,80,1,25,3
0,17,0,56,2
1,68,0,6,1
0,48,0,66,1
1,44,0,37,2
1,65,1,11,2
0,26,1,64,3
0,82,0,92,2
1,76,0,64,3
0,2,1,53,2
1,17,1,58,3
1,86,0,97,2
1,0,1,11,2
1,0,0,44,3
0,90,1,31,3
1,23,0,74,3
0,92,1,81,1
0,97,0,17,1
1,26,0,67,3
0,3,0,21,2
