knowledge_usefulness,knowledge_reliability,knowledge_accuracy,knowledge_quality
1,80,23,1
2,31,20,1
1,73,33,1
2,38,60,2
0,22,27,1
2,15,66,2
2,74,87,1
1,72,51,1
3,58,62,1
2,18,77,2
0,72,61,2
0,53,11,1
0,72,7,2
0,15,93,1
3,17,35,2
1,47,56,1
0,9,78,1
3,44,13,2
3,59,11,1
2,56,52,2
2,79,100,2
1,29,22,2
3,5,82,2
0,62,57,2
3,75,91,1
1,46,51,1
0,75,82,1
0,20,43,1
0,20,64,2
2,31,70,2
0,79,51,1
3,64,58,1
3,35,51,2
1,58,12,1
0,52,57,1
2,53,5,2
2,14,24,2
3,52,38,1
3,7,79,1
1,30,77,2
0,10,51,1
3,49,42,2
3,10,38,1
0,53,41,1
0,8,42,2
0,15,43,1
0,67,58,1
0,14,31,2
1,42,80,2
1,50,33,1
3,35,42,1
3,52,100,2
2,71,58,1
3,71,38,2
1,43,41,2
3,26,55,1
0,3,31,2
0,33,1,1
2,46,86,1
0,44,61,2
3,47,78,1
1,54,39,1
1,21,73,1
0,28,21,1
2,2,50,2
3,23,40,1
3,1,95,2
1,41,16,2
3,14,66,1
1,23,54,2
3,67,45,2
0,41,32,1
0,29,78,1
1,60,14,2
1,67,67,1
3,16,16,1
2,71,82,1
1,79,88,2
3,19,44,1
0,44,1,2
2,74,97,2
2,14,43,1
3,37,88,1
3,17,54,2
2,9,42,2
1,35,37,2
1,32,50,1
3,68,90,1
3,78,96,1
0,24,58,1
1,14,90,2
1,50,41,1
0,54,77,2
2,51,92,1
0,76,41,1
2,53,66,2
1,38,56,2
0,40,28,2
2,2,68,2
2,36,47,1
2,39,86,2
1,36,86,2
2,41,33,2
0,10,15,1
0,8,94,2
3,15,96,1
3,62,42,2
2,48,25,2
1,48,11,2
1,71,56,2
3,62,76,2
1,23,94,1
1,44,44,2
2,37,88,1
3,34,76,1
2,57,75,1
1,49,95,1
3,59,31,1
1,3,61,2
0,57,82,1
2,26,61,2
0,5,22,2
2,70,90,1
0,16,45,2
0,25,8,2
2,18,87,2
2,53,23,2
3,54,16,1
1,46,61,1
0,43,87,2
1,77,58,1
2,9,75,1
2,69,11,1
1,71,26,1
0,32,90,2
0,66,15,2
1,32,82,1
2,79,53,2
2,40,88,1
1,13,98,1
1,30,92,1
0,35,12,1
3,28,83,2
2,8,89,2
0,39,33,1
2,39,91,1
2,3,93,2
