knowledge_usefulness,knowledge_reliability,knowledge_accuracy,knowledge_quality
3,38,77,2
0,78,75,1
3,43,83,1
0,37,82,2
2,35,93,2
3,20,47,1
2,36,27,1
3,50,41,2
2,9,67,1
0,73,21,1
3,44,14,2
0,23,23,1
3,4,33,1
2,12,55,2
3,45,20,2
0,18,90,2
2,68,89,1
3,48,23,2
1,62,98,1
3,4,51,1
1,68,39,1
3,8,76,1
0,33,34,2
2,65,51,1
1,56,40,1
0,16,31,2
3,76,7,2
0,48,9,2
3,23,25,1
2,34,29,1
1,40,69,1
2,7,29,2
3,4,42,2
1,48,58,2
3,31,74,1
3,45,77,2
2,31,69,2
3,5,22,2
2,42,69,2
3,80,23,1
2,38,89,2
1,73,23,1
2,33,12,2
1,78,93,2
2,6,94,2
2,30,43,1
3,18,86,1
3,37,55,2
1,5,58,2
3,10,13,1
3,66,91,2
1,68,87,2
3,10,65,1
3,58,53,2
3,70,6,2
0,63,67,2
0,29,17,1
0,8,49,2
2,22,30,1
0,20,15,1
1,74,8,1
2,40,93,1
2,37,79,1
0,73,5,2
3,4,64,2
2,29,91,1
1,13,44,2
2,18,64,2
3,73,81,1
1,15,67,1
2,1,87,2
2,64,90,2
2,62,70,1
2,18,54,1
1,77,70,2
1,25,9,2
3,65,69,2
2,45,78,1
1,46,13,2
1,16,51,1
3,2,93,2
3,25,55,2
1,32,16,1
2,71,10,1
3,41,52,1
1,14,56,1
0,50,19,1
3,39,33,2
3,20,27,2
0,51,5,2
0,32,88,2
0,47,41,1
1,42,64,1
3,65,95,1
2,25,21,2
2,3,38,1
0,33,78,1
3,60,38,2
3,52,94,1
2,44,70,1
0,13,29,2
3,5,65,1
0,20,85,2
3,42,27,2
3,37,65,1
2,1,86,2
2,16,92,1
2,80,4,1
0,73,29,2
3,6,70,1
3,61,48,1
0,48,15,1
1,51,15,1
3,79,30,1
2,6,23,1
2,78,21,1
2,21,7,2
1,10,99,2
0,22,83,1
0,33,6,1
1,37,62,2
