knowledge_usefulness,knowledge_reliability,knowledge_accuracy,knowledge_quality
1,32,74,1
1,8,19,1
2,77,57,1
1,67,9,2
3,23,90,1
3,28,94,2
2,30,52,1
3,32,58,2
3,40,52,2
2,63,52,2
1,57,38,1
1,11,73,1
0,12,58,2
3,4,95,1
2,6,77,2
3,65,18,1
2,50,64,1
1,5,1,2
0,46,44,1
0,79,72,2
0,72,33,1
0,40,38,2
1,74,6,2
3,62,5,2
3,73,94,1
0,56,86,1
1,34,93,1
2,76,48,1
3,12,3,1
2,12,99,2
1,46,83,2
0,24,16,1
1,21,37,2
0,28,86,1
3,12,24,2
0,14,5,1
0,39,75,1
2,64,11,1
3,42,24,2
3,71,4,1
1,17,62,1
3,10,89,1
1,29,61,1
0,56,13,2
2,42,95,2
2,6,34,2
2,45,4,2
2,72,29,1
2,60,18,1
2,16,62,1
2,31,12,2
2,25,56,2
1,45,40,2
3,78,45,2
3,2,5,2
2,70,48,1
0,66,14,1
2,31,3,2
1,15,22,2
1,23,71,1
3,65,59,1
3,24,65,1
2,11,71,2
3,40,70,1
2,47,59,2
3,6,98,1
1,53,87,2
2,10,9,2
0,58,7,2
2,77,18,1
0,66,4,2
2,10,34,1
3,8,38,2
3,3,76,1
1,44,11,2
0,73,50,1
2,56,20,1
1,43,90,2
0,12,3,2
0,45,48,2
3,67,8,2
3,27,19,2
0,2,73,2
0,42,50,2
1,27,18,2
0,61,46,2
0,28,72,2
3,69,38,2
0,44,28,2
3,79,75,1
3,51,37,1
2,20,69,2
2,60,29,1
2,36,26,2
3,15,54,1
3,50,84,1
3,68,66,2
3,40,65,2
0,6,83,1
1,28,70,2
0,15,80,1
0,2,85,1
1,13,80,1
3,47,36,1
2,24,28,1
1,65,57,1
3,27,62,1
1,18,65,1
0,62,98,2
0,54,80,2
2,13,28,2
1,34,40,1
1,64,15,2
1,30,82,1
3,60,54,2
2,77,36,1
2,52,53,2
3,18,36,2
3,73,88,2
0,33,49,1
3,35,53,2
0,31,72,1
3,43,60,1
1,15,98,1
0,65,45,1
1,54,30,1
1,54,25,1
3,61,79,2
0,65,100,1
0,76,4,1
3,6,73,1
1,7,51,2
3,7,72,2
3,14,14,1
1,29,100,1
0,50,7,1
0,20,31,1
2,57,86,1
0,43,84,2
1,44,67,1
0,39,6,2
0,2,22,1
0,68,71,2
3,34,69,1
1,69,29,2
2,80,82,1
2,60,32,2
0,18,39,2
2,55,80,2
2,22,81,2
3,24,2,1
1,65,25,2
1,38,89,2
2,37,71,2
1,78,90,1
3,26,90,2
2,78,73,2
2,59,98,1
1,55,61,2
3,32,35,1
0,46,56,2
3,12,74,1
0,61,67,1
3,1,28,2
1,7,84,2
3,79,48,2
2,17,41,2
1,62,5,2
3,8,94,1
3,16,47,1
2,42,72,2
3,69,4,2
1,35,81,2
2,20,78,1
0,75,46,2
2,2,59,1
1,16,14,2
3,47,87,1
3,55,52,1
2,80,46,2
1,45,62,1
0,33,48,2
1,40,75,2
3,52,88,2
3,60,29,1
2,64,32,2
1,33,61,2
2,56,93,2
3,70,14,2
3,30,30,1
1,19,64,1
0,20,28,2
3,73,55,2
3,23,30,2
2,1,78,2
0,80,14,1
1,29,46,2
2,38,42,2
3,29,42,1
2,72,99,2
3,47,64,1
2,80,67,2
1,29,72,2
3,17,42,2
3,61,14,1
2,73,17,1
1,15,15,1
3,36,55,1
2,28,61,2
3,67,79,2
3,9,60,2
3,12,89,2
1,49,53,2
0,36,76,2
2,28,15,1
1,47,11,2
2,48,93,2
2,11,9,2
3,38,83,1
3,13,71,2
0,33,50,2
0,66,8,2
3,26,4,1
3,25,49,2
0,72,23,2
1,52,62,1
0,59,47,1
0,34,87,1
3,73,23,2
1,56,45,2
0,47,7,2
1,61,7,2
2,3,11,2
0,63,35,2
3,2,64,2
3,24,79,2
3,61,14,2
1,53,68,1
1,44,80,2
3,65,99,1
3,55,70,2
2,41,98,1
0,22,50,1
2,40,57,1
0,15,23,2
2,59,29,2
3,70,16,2
0,65,88,2
2,61,71,2
2,65,65,1
0,62,26,1
1,70,26,2
3,61,8,2
0,42,37,2
3,30,27,1
0,80,87,1
3,1,77,1
0,74,62,1
3,32,10,2
2,71,43,2
0,66,79,2
1,69,90,2
3,76,14,1
0,61,39,2
3,50,13,2
0,13,35,2
1,8,57,2
0,80,85,2
0,22,93,2
1,37,13,1
2,76,30,2
0,12,95,2
3,28,32,2
1,65,81,1
2,43,89,2
3,58,95,2
0,73,46,1
2,5,38,2
2,62,28,1
3,1,69,1
1,33,5,1
2,13,82,2
3,62,97,1
3,20,10,1
2,65,96,2
0,7,95,1
0,1,20,2
0,79,40,2
2,18,42,1
3,4,77,1
3,61,85,2
0,48,50,1
3,23,19,1
3,1,68,1
0,14,95,2
1,27,31,1
0,29,43,1
0,47,17,1
0,58,55,2
2,21,60,2
2,12,99,1
3,66,84,2
2,15,87,2
0,65,99,2
3,63,11,1
2,52,12,2
3,20,45,2
3,70,35,2
3,50,26,1
0,38,51,1
1,15,47,2
2,17,45,1
2,78,81,1
1,73,46,1
0,71,15,2
0,39,13,2
1,24,12,2
2,46,96,2
3,64,23,1
2,22,59,1
1,62,15,2
0,15,5,1
3,51,77,2
1,78,58,2
1,8,44,2
3,79,62,1
2,3,79,2
0,38,30,2
0,4,15,2
0,80,84,1
0,4,16,1
1,40,20,2
2,29,75,1
2,13,71,1
3,52,59,2
0,18,70,1
2,58,3,1
2,75,76,1
1,39,77,2
0,40,48,1
3,66,35,1
1,71,59,2
3,6,30,1
3,13,4,1
0,79,52,2
1,5,66,1
3,45,96,2
3,60,20,1
2,75,16,1
1,12,10,1
0,41,75,2
2,60,1,2
3,31,29,1
0,13,95,1
3,62,71,1
2,28,34,2
0,60,10,1
1,64,45,1
0,22,70,1
0,17,8,2
3,43,25,1
2,72,53,1
3,34,47,1
0,46,59,2
3,7,11,1
2,54,9,1
0,39,56,2
2,17,85,1
0,46,21,1
3,41,43,2
3,68,75,2
1,67,81,2
0,13,45,2
2,6,94,1
2,72,37,1
1,18,89,2
1,62,87,1
1,28,70,2
3,57,76,2
2,46,60,1
0,10,64,1
1,40,36,1
3,63,28,1
0,37,73,2
1,24,89,2
1,66,83,2
1,39,7,1
2,3,91,1
2,26,54,1
1,61,86,2
1,65,23,2
2,77,36,1
1,35,26,2
2,52,39,2
0,22,72,1
1,23,8,2
2,75,15,1
3,75,69,1
1,23,66,2
1,48,25,2
3,8,92,1
3,27,35,1
3,15,55,1
0,13,32,1
1,71,89,1
0,26,31,2
2,77,50,1
2,3,15,2
2,12,99,1
3,46,77,2
3,78,64,2
2,28,25,1
2,34,64,1
3,61,28,2
3,31,100,2
1,80,3,2
3,76,23,1
0,40,32,2
2,78,96,1
3,45,7,1
0,33,51,1
0,38,67,2
0,26,39,1
2,51,91,2
3,79,78,2
2,16,32,2
2,69,21,1
1,39,21,1
2,32,68,2
2,12,6,2
3,79,47,2
3,22,17,2
0,53,25,1
1,72,4,1
3,72,58,2
1,42,33,1
0,19,92,2
3,49,18,2
1,78,31,1
0,66,55,2
1,5,93,2
1,64,75,1
1,75,90,2
0,70,63,1
1,20,9,1
3,48,19,1
3,8,90,1
0,59,9,1
0,2,62,1
3,29,29,2
0,3,18,2
2,6,32,2
3,73,48,1
0,14,73,1
1,4,63,1
1,20,49,1
1,63,67,1
3,11,31,2
2,38,84,1
1,37,31,1
2,35,73,2
3,70,44,2
3,74,64,2
3,38,35,2
0,60,21,2
2,7,98,1
3,47,84,2
2,12,7,2
1,9,6,2
3,60,70,2
3,43,35,1
2,41,15,2
3,10,13,1
2,60,28,1
1,58,80,2
1,74,67,1
3,29,64,2
3,56,68,1
2,37,18,2
0,80,53,1
0,39,90,1
0,27,91,1
1,67,67,2
2,60,34,2
0,78,17,1
1,60,44,2
3,55,33,1
1,30,41,1
1,50,7,1
3,80,28,2
0,31,40,1
1,14,83,1
0,59,19,1
1,44,93,2
2,11,21,2
1,8,86,1
2,73,81,1
3,57,81,1
1,19,44,2
1,8,85,1
3,11,73,1
2,52,61,2
2,23,25,2
0,19,2,2
1,29,14,1
0,63,56,2
0,33,32,1
0,58,43,2
1,72,18,1
1,38,56,2
0,43,62,1
1,62,65,2
1,11,80,2
1,39,58,1
2,59,58,2
2,1,46,1
0,67,25,2
2,55,9,2
0,56,80,2
1,22,58,1
0,20,41,1
2,8,83,1
1,44,98,1
0,66,35,1
0,75,64,2
0,34,24,2
3,1,83,1
1,21,87,2
1,14,76,1
1,80,56,2
2,8,9,2
1,9,51,2
3,78,56,1
2,52,35,1
1,42,35,2
3,18,57,2
0,41,62,1
3,78,31,1
2,55,14,1
2,24,79,1
0,79,39,2
1,59,87,1
3,66,41,1
0,71,12,1
0,47,7,1
2,41,38,2
3,73,55,2
0,9,79,2
3,71,52,2
1,16,32,2
3,30,6,1
0,29,30,2
3,58,8,1
2,77,74,1
3,58,44,2
3,40,90,2
1,74,4,2
2,71,30,2
1,16,21,1
1,4,10,1
2,28,11,1
1,9,14,1
3,69,3,1
3,41,15,1
1,35,35,1
0,68,63,1
2,65,38,2
0,31,62,2
0,18,87,1
1,44,56,1
3,39,83,1
3,68,84,2
1,55,18,1
1,56,88,1
0,34,48,1
2,57,15,2
0,24,55,2
3,26,17,1
2,17,19,1
3,71,48,2
2,80,62,1
2,36,29,2
3,25,52,1
0,54,76,1
3,77,37,2
2,52,84,1
2,79,36,2
2,2,55,1
1,47,48,2
1,49,46,2
0,7,35,2
2,10,88,1
1,2,78,2
0,75,76,2
2,43,54,2
1,12,41,2
2,4,51,2
2,33,50,2
2,74,55,2
2,71,4,1
1,51,50,1
1,10,57,1
0,37,99,2
1,2,68,1
2,36,84,1
1,16,46,2
0,67,32,1
1,60,83,1
0,80,26,1
1,66,88,2
2,40,73,1
2,58,48,2
0,19,87,1
1,24,11,1
3,21,93,1
1,36,45,1
2,48,43,1
0,18,86,1
2,52,46,1
1,53,26,1
0,46,55,1
0,75,73,2
2,76,87,1
2,25,82,1
2,68,42,2
3,48,53,1
0,15,80,2
3,71,48,2
2,10,21,1
1,49,35,2
2,2,18,2
2,2,85,1
0,21,88,1
1,73,77,1
0,80,68,1
2,68,42,1
3,30,71,1
0,40,40,1
1,55,30,1
3,29,59,2
2,27,37,2
2,47,56,2
3,18,50,1
2,35,68,2
1,11,60,1
3,36,57,1
0,33,79,1
3,74,64,2
2,18,28,2
0,43,97,1
2,64,69,2
0,40,66,1
3,46,12,1
1,5,63,1
0,56,73,2
1,69,48,2
3,16,37,1
3,70,68,2
0,52,88,1
3,57,93,1
3,18,39,2
0,34,61,1
2,35,98,1
0,32,15,1
0,60,80,1
3,23,52,2
0,24,64,1
0,35,29,1
1,8,100,1
0,30,58,1
2,55,54,2
0,56,67,2
3,74,72,1
0,28,5,2
3,16,79,2
3,43,62,2
2,8,51,1
1,24,53,2
2,50,11,2
3,6,5,1
3,42,52,1
1,72,76,1
0,42,50,2
2,23,98,2
1,19,73,2
3,51,53,2
2,46,35,2
1,58,76,1
3,51,64,1
3,32,92,2
2,33,4,1
2,61,98,2
0,18,5,1
2,76,65,1
3,71,66,2
3,32,37,2
3,38,57,2
3,14,81,2
1,72,51,1
3,64,85,2
0,40,93,1
1,46,39,2
0,16,64,1
0,48,33,1
3,70,66,2
2,23,50,1
1,54,36,1
0,50,47,1
1,25,38,2
1,24,96,1
0,39,23,2
3,76,4,2
1,15,47,2
2,13,78,1
3,12,65,2
0,41,96,1
2,67,40,1
1,59,98,1
1,13,58,2
2,79,24,2
0,3,94,2
3,40,68,2
2,41,10,1
2,23,82,1
1,27,25,2
1,4,40,2
0,58,26,1
1,59,19,1
0,53,96,1
3,20,66,1
3,49,38,2
2,4,66,2
0,10,72,2
0,23,85,2
0,3,31,1
2,67,20,2
0,74,77,2
0,66,14,2
3,11,43,2
1,16,66,1
0,36,89,2
0,59,83,2
1,16,45,2
3,63,86,1
1,68,88,2
3,74,25,1
3,14,11,2
1,35,4,1
2,73,65,2
2,73,50,2
2,15,2,1
3,67,100,2
3,14,6,1
1,20,84,1
1,52,65,2
2,58,48,2
3,33,15,2
1,78,25,1
0,29,24,2
0,45,71,1
2,53,46,1
3,71,38,1
0,34,62,2
2,49,14,1
0,24,53,1
3,17,92,2
1,70,19,2
1,29,11,2
0,64,58,2
3,57,96,1
1,65,31,2
3,22,92,1
3,68,98,2
3,4,81,2
3,1,46,2
0,21,33,2
1,13,21,1
0,9,15,2
2,21,22,2
0,68,51,2
3,28,98,2
1,16,27,1
1,57,78,1
3,52,7,1
0,1,96,1
3,60,71,2
0,24,25,1
2,16,62,1
1,36,8,2
2,21,86,2
0,11,35,1
1,65,29,2
1,5,55,2
3,1,42,1
3,26,39,1
0,29,83,1
0,27,39,2
1,60,10,2
1,43,95,1
1,61,11,1
2,2,22,2
3,33,20,2
2,26,10,1
3,55,95,1
3,27,31,2
0,31,59,2
1,76,95,2
2,80,8,1
0,61,67,1
0,5,89,2
2,5,38,1
2,35,53,2
2,69,44,1
2,77,23,1
2,58,20,2
1,23,39,1
0,57,27,2
2,19,24,2
0,78,54,2
0,13,32,2
3,12,64,2
2,60,53,1
2,73,42,1
0,68,46,1
3,23,74,2
1,63,22,2
2,57,77,1
1,75,5,1
1,12,78,2
3,66,96,2
3,71,9,2
2,52,92,1
2,32,44,1
1,22,67,2
2,77,34,1
3,63,50,1
2,39,25,1
3,80,7,1
1,14,34,1
3,39,10,1
3,41,69,1
2,28,4,2
0,21,20,2
3,50,97,1
0,8,55,2
2,63,84,1
1,47,51,2
0,51,28,2
2,57,96,1
1,35,68,1
2,55,50,1
1,62,74,1
0,49,87,1
1,73,1,1
2,66,94,2
2,62,69,2
0,48,59,2
0,63,72,1
1,25,19,2
3,56,11,2
0,12,22,2
3,33,32,1
2,22,45,1
3,24,59,2
2,44,66,1
1,55,86,1
2,10,85,1
3,22,7,2
2,58,18,2
2,62,18,2
0,59,76,1
1,30,48,1
3,30,69,2
2,33,96,1
0,25,27,1
0,13,91,1
2,69,16,1
2,15,2,2
3,70,67,2
0,67,61,2
0,69,81,2
0,68,24,1
1,56,32,2
0,74,79,2
2,48,35,2
0,25,56,2
0,66,97,2
2,2,81,2
0,13,95,2
0,28,12,1
0,75,56,1
3,15,15,1
3,68,80,2
0,27,96,1
1,73,84,2
2,63,15,1
3,5,95,1
2,13,66,2
0,40,5,1
0,27,64,2
1,32,90,1
3,69,27,2
2,67,21,2
3,25,41,2
3,20,67,1
1,49,35,2
3,32,37,1
2,67,23,1
3,22,68,2
2,51,33,1
1,68,38,2
3,38,6,2
0,73,15,1
2,67,79,1
3,63,14,1
3,42,85,1
1,26,97,1
3,5,84,1
2,39,72,2
0,32,79,2
1,66,51,1
1,71,6,1
1,37,35,2
3,39,2,1
0,67,28,2
1,44,30,2
0,27,13,2
1,39,8,2
3,8,48,1
2,13,31,2
2,18,58,1
0,80,3,2
3,16,36,2
0,73,77,2
2,64,49,1
3,6,25,2
3,16,64,1
2,56,34,2
1,72,87,1
1,76,14,2
1,16,64,1
2,2,7,1
2,74,77,2
3,59,49,2
1,36,53,2
1,64,95,2
3,64,79,2
1,69,36,2
2,18,54,2
3,80,88,2
0,15,96,1
0,26,21,2
0,42,32,2
0,77,93,1
0,22,66,2
3,44,19,2
1,53,34,1
2,48,37,2
3,74,10,2
3,8,71,1
3,33,92,1
2,22,48,2
3,49,59,1
0,62,56,2
3,26,19,1
0,19,64,1
2,3,89,1
3,6,85,1
1,8,56,2
2,23,23,1
2,80,37,2
0,79,58,1
2,31,95,1
3,37,97,2
0,58,27,1
1,53,91,2
0,21,20,1
1,67,8,1
0,24,24,2
3,71,31,2
3,4,30,1
3,59,82,2
0,72,73,2
2,26,99,1
3,56,52,2
2,14,27,2
2,80,63,1
2,33,77,1
1,62,58,1
2,71,83,1
0,72,40,1
2,19,25,1
2,65,32,2
1,58,92,2
2,22,33,1
0,77,82,1
0,61,29,1
2,72,20,2
1,23,90,2
0,16,5,2
